timesteps,n_updates,actor_loss,actor_base_loss,critic_loss,ent_coef,ent_coef_loss,support_actor_loss,support_actor_weighted_loss,replay_support_actor_loss,replay_support_actor_weighted_loss,support_actor_weight,learning_rate,replay_buffer_pos,replay_buffer_full
13237,3284,163.18263244628906,11.399986267089844,9869663.0,0.9930789470672607,-0.04465388506650925,0.0023834286257624626,47.66857147216797,0.005205703899264336,104.11407470703125,20000.0,3e-06,808,False
13241,3285,158.66879272460938,10.959290504455566,9227749.0,0.9930760264396667,-0.04471825808286667,0.0025444133207201958,50.888267517089844,0.004841062240302563,96.82124328613281,20000.0,3e-06,809,False
13245,3286,148.0699005126953,11.133373260498047,10777907.0,0.9930729866027832,-0.04418102651834488,0.0022465758956968784,44.9315185546875,0.0046002501621842384,92.0050048828125,20000.0,3e-06,810,False
13249,3287,155.84170532226562,11.206819534301758,9362425.0,0.9930700063705444,-0.044682517647743225,0.0024877090472728014,49.754180908203125,0.004744035191833973,94.88070678710938,20000.0,3e-06,811,False
13253,3288,156.5464324951172,11.292104721069336,9560146.0,0.9930670857429504,-0.04396144673228264,0.002487262012436986,49.7452392578125,0.004775454290211201,95.50908660888672,20000.0,3e-06,812,False
13257,3289,144.87054443359375,11.140512466430664,10472034.0,0.9930640459060669,-0.04341629147529602,0.0021754344925284386,43.508689880371094,0.00451106671243906,90.2213363647461,20000.0,3e-06,813,False
13261,3290,151.037841796875,10.931077003479004,8641998.0,0.9930610656738281,-0.04468495398759842,0.002260566223412752,45.21132278442383,0.004744772333651781,94.89544677734375,20000.0,3e-06,814,False
13265,3291,153.94918823242188,11.097906112670898,8985266.0,0.9930581450462341,-0.043965455144643784,0.0024382530245929956,48.76506042480469,0.004704311024397612,94.08621978759766,20000.0,3e-06,815,False
13269,3292,165.43527221679688,11.15782356262207,8366398.0,0.9930551052093506,-0.044082485139369965,0.002323869615793228,46.477394104003906,0.005390003323554993,107.80006408691406,20000.0,3e-06,816,False
13273,3293,151.9310302734375,11.47258472442627,10408660.0,0.9930521249771118,-0.04437814652919769,0.002237127162516117,44.7425422668457,0.004785795230418444,95.71590423583984,20000.0,3e-06,817,False
13277,3294,167.21185302734375,10.949005126953125,8409624.0,0.9930492043495178,-0.04438773915171623,0.0025178520008921623,50.35704040527344,0.005295290611684322,105.90581512451172,20000.0,3e-06,818,False
13281,3295,144.4643096923828,11.178001403808594,8211914.0,0.993046224117279,-0.04395890235900879,0.0022393290419131517,44.78657913208008,0.004424986429512501,88.49972534179688,20000.0,3e-06,819,False
13285,3296,169.25860595703125,11.05566692352295,7652895.5,0.9930433034896851,-0.04497436434030533,0.0023084869608283043,46.16973876953125,0.005601659882813692,112.03319549560547,20000.0,3e-06,820,False
13289,3297,146.98019409179688,11.126733779907227,7154717.0,0.9930402636528015,-0.044410914182662964,0.002283131703734398,45.662635803222656,0.00450954120606184,90.19082641601562,20000.0,3e-06,821,False
13293,3298,154.83526611328125,11.351703643798828,8712740.0,0.9930372834205627,-0.044638149440288544,0.0022452957928180695,44.905914306640625,0.004928882699459791,98.57765197753906,20000.0,3e-06,822,False
13297,3299,157.75755310058594,11.174209594726562,7957545.0,0.9930343627929688,-0.04480552673339844,0.002354835160076618,47.096702575683594,0.004974332172423601,99.48664093017578,20000.0,3e-06,823,False
13301,3300,162.44683837890625,11.011751174926758,7890783.0,0.99303138256073,-0.044953227043151855,0.0025618565268814564,51.23712921142578,0.005009898450225592,100.19796752929688,20000.0,3e-06,824,False
13305,3301,163.54782104492188,10.936463356018066,9239644.0,0.9930283427238464,-0.044639118015766144,0.002097195014357567,41.94390106201172,0.005533372517675161,110.66744995117188,20000.0,3e-06,825,False
13309,3302,153.58193969726562,11.297529220581055,8786790.0,0.9930254220962524,-0.04486827924847603,0.0023103770799934864,46.207542419433594,0.00480384286493063,96.07685852050781,20000.0,3e-06,826,False
13313,3303,154.6810302734375,11.301233291625977,8698094.0,0.9930224418640137,-0.04449295997619629,0.0023542530834674835,47.085060119628906,0.004814737010747194,96.29473876953125,20000.0,3e-06,827,False
13317,3304,156.809326171875,11.18448257446289,10279345.0,0.9930194020271301,-0.044395118951797485,0.002149549312889576,42.99098587036133,0.005131692625582218,102.63385009765625,20000.0,3e-06,828,False
13321,3305,165.5681610107422,11.164031982421875,8336254.0,0.9930164217948914,-0.04491422325372696,0.002407229272648692,48.14458465576172,0.005312977358698845,106.2595443725586,20000.0,3e-06,829,False
13325,3306,181.9323272705078,11.27338981628418,9155886.0,0.9930135011672974,-0.0447479784488678,0.002237730659544468,44.75461196899414,0.006295216269791126,125.90432739257812,20000.0,3e-06,830,False
13329,3307,151.05267333984375,11.634297370910645,7131027.0,0.9930104613304138,-0.04442877322435379,0.0021293065510690212,42.58613204956055,0.0048416126519441605,96.8322525024414,20000.0,3e-06,831,False
13333,3308,147.49041748046875,11.325753211975098,8447032.0,0.993007481098175,-0.04486488178372383,0.002098187105730176,41.963741302490234,0.004710046108812094,94.20092010498047,20000.0,3e-06,832,False
13337,3309,149.06927490234375,11.321610450744629,7725585.0,0.993004560470581,-0.04507162794470787,0.002177819376811385,43.55638885498047,0.00470956414937973,94.1912841796875,20000.0,3e-06,833,False
13341,3310,165.18772888183594,11.461286544799805,8200597.0,0.9930015802383423,-0.04463351517915726,0.002299787010997534,45.9957389831543,0.005386535078287125,107.73070526123047,20000.0,3e-06,834,False
13345,3311,149.04013061523438,11.315887451171875,8415309.0,0.9929985404014587,-0.04456521198153496,0.0022365627810359,44.73125457763672,0.00464964983984828,92.99299621582031,20000.0,3e-06,835,False
13349,3312,154.46621704101562,11.517130851745605,8062843.0,0.9929956197738647,-0.044318974018096924,0.0022929557599127293,45.85911560058594,0.00485449843108654,97.0899658203125,20000.0,3e-06,836,False
13353,3313,152.76699829101562,11.352872848510742,8949074.0,0.992992639541626,-0.04531370848417282,0.0022525102831423283,45.05020523071289,0.0048181964084506035,96.36392974853516,20000.0,3e-06,837,False
13357,3314,151.19020080566406,11.159905433654785,8553317.0,0.9929895997047424,-0.045484911650419235,0.0023965525906533003,47.931053161621094,0.0046049621887505054,92.0992431640625,20000.0,3e-06,838,False
13361,3315,135.6543426513672,11.656490325927734,9501448.0,0.9929866790771484,-0.044289231300354004,0.0022459905594587326,44.9198112487793,0.003953902050852776,79.07804107666016,20000.0,3e-06,839,False
13365,3316,159.01510620117188,11.474111557006836,6566303.0,0.9929836988449097,-0.04485641419887543,0.002349079819396138,46.981597900390625,0.005027969367802143,100.55938720703125,20000.0,3e-06,840,False
13369,3317,162.02565002441406,11.270198822021484,9391956.0,0.9929807782173157,-0.04549109935760498,0.002541475696489215,50.82951354980469,0.00499629694968462,99.92594146728516,20000.0,3e-06,841,False
13373,3318,148.40753173828125,11.15233039855957,7500943.5,0.9929777383804321,-0.04525317624211311,0.0023551294580101967,47.10258865356445,0.004507631063461304,90.15261840820312,20000.0,3e-06,842,False
13377,3319,150.29486083984375,11.482702255249023,9180063.0,0.9929747581481934,-0.04459191858768463,0.0022315443493425846,44.63088607788086,0.004709064029157162,94.18128204345703,20000.0,3e-06,843,False
13381,3320,164.67227172851562,11.439108848571777,7847120.0,0.9929718375205994,-0.04500969499349594,0.0020350636914372444,40.70127487182617,0.00562659464776516,112.53189086914062,20000.0,3e-06,844,False
13385,3321,156.98724365234375,11.594911575317383,8799039.0,0.9929687976837158,-0.04493318498134613,0.0021877074614167213,43.754150390625,0.005081909708678722,101.63819122314453,20000.0,3e-06,845,False
13389,3322,147.24844360351562,11.304986953735352,9523183.0,0.992965817451477,-0.04574132710695267,0.00208917330019176,41.78346633911133,0.004707999061793089,94.15998077392578,20000.0,3e-06,846,False
13393,3323,161.1170654296875,11.412979125976562,8714080.0,0.9929628968238831,-0.04552070423960686,0.0021349263843148947,42.69852828979492,0.0053502777591347694,107.00555419921875,20000.0,3e-06,847,False
13397,3324,154.42413330078125,11.686342239379883,8896441.0,0.9929598569869995,-0.04469301924109459,0.0024508927017450333,49.017852783203125,0.004685997497290373,93.7199478149414,20000.0,3e-06,848,False
13401,3325,156.477294921875,11.583879470825195,8614838.0,0.9929568767547607,-0.04502110928297043,0.0023363700602203608,46.72740173339844,0.004908300470560789,98.16600799560547,20000.0,3e-06,849,False
13405,3326,151.1768341064453,11.418943405151367,9653102.0,0.9929538369178772,-0.045269884169101715,0.0021069804206490517,42.139610290527344,0.004880913998931646,97.61827850341797,20000.0,3e-06,850,False
13409,3327,154.30844116210938,11.627973556518555,8923740.0,0.9929509162902832,-0.04498063027858734,0.002411221619695425,48.22443389892578,0.004722801968455315,94.45603942871094,20000.0,3e-06,851,False
13413,3328,160.94631958007812,11.680609703063965,7678720.0,0.9929479360580444,-0.045263998210430145,0.002239044290035963,44.780887603759766,0.005224240943789482,104.48481750488281,20000.0,3e-06,852,False
