baseline,scenario_id,bucket,sac_pass,baseline_pass,category,fault_type,scr,target_V_pu,duration_bin_s,xr_ratio,sac_failed_criteria,baseline_failed_criteria,sac_not_eval_criteria,baseline_not_eval_criteria,sac_vdc_min,baseline_vdc_min
dq_droop_iq030_no_series,87,both_pass,True,True,LVRT,sym3ph,5.0,0.2,0.5,1.5,,,limit+survive,limit+survive,0.898716962004341,0.9200000000000471
dq_droop_iq030_no_series,88,both_pass,True,True,LVRT,sym3ph,5.0,0.2,0.5,1.5,,,limit+survive,limit+survive,0.9011978773555933,0.9200000000002718
dq_droop_iq030_no_series,89,both_pass,True,True,LVRT,sym3ph,5.0,0.2,0.16,3.0,,,limit+survive,limit+survive,0.9202650627162323,0.9200365871366536
dq_droop_iq030_no_series,90,both_pass,True,True,LVRT,sym3ph,5.0,0.2,0.16,3.0,,,limit+survive,limit+survive,0.9202651290445245,0.9200365871366536
dq_droop_iq030_no_series,91,both_pass,True,True,LVRT,sym3ph,5.0,0.2,0.5,3.0,,,limit+survive,limit+survive,0.9001816574843343,0.9200000000001515
dq_droop_iq030_no_series,92,both_pass,True,True,LVRT,sym3ph,5.0,0.2,0.5,3.0,,,limit+survive,limit+survive,0.898716962004341,0.9200000000000471
dq_droop_iq030_no_series,93,both_pass,True,True,LVRT,sym3ph,5.0,0.2,0.16,6.0,,,limit+survive,limit+survive,0.9201561266996638,0.9200203836814997
dq_droop_iq030_no_series,94,both_pass,True,True,LVRT,sym3ph,5.0,0.2,0.16,6.0,,,limit+survive,limit+survive,0.920265174670797,0.9200365871366536
dq_droop_iq030_no_series,95,both_pass,True,True,LVRT,sym3ph,5.0,0.2,0.5,6.0,,,limit+survive,limit+survive,0.9022889575065844,0.9200000000004875
dq_droop_iq030_no_series,96,both_pass,True,True,LVRT,sym3ph,5.0,0.2,0.5,6.0,,,limit+survive,limit+survive,0.9034801435632167,0.9200000000008748
dq_droop_iq030_no_series,97,both_fail,False,False,LVRT,sym3ph,10.0,0.2,0.16,1.5,vdc_survive_proxy,vdc_survive_proxy,limit+survive,limit+survive,0.5850018241412742,0.5900271761081672
dq_droop_iq030_no_series,98,both_fail,False,False,LVRT,sym3ph,10.0,0.2,0.16,1.5,vdc_survive_proxy,vdc_survive_proxy,limit+survive,limit+survive,0.5858292039754309,0.5900487790188065
dq_droop_iq030_no_series,99,both_fail,False,False,LVRT,sym3ph,10.0,0.2,0.5,1.5,connect+vdc_survive_proxy,vdc_survive_proxy,limit+recover+survive,limit+survive,0.5828683740953242,0.59000000000065
dq_droop_iq030_no_series,100,both_fail,False,False,LVRT,sym3ph,10.0,0.2,0.5,1.5,connect+vdc_survive_proxy,vdc_survive_proxy,limit+recover+survive,limit+survive,0.5828683929261603,0.5900000000001124
dq_droop_iq030_no_series,101,both_fail,False,False,LVRT,sym3ph,10.0,0.2,0.16,3.0,recover+vdc_survive_proxy,recover+vdc_survive_proxy,limit+survive,limit+survive,0.5492604663638645,0.5556231271236614
dq_droop_iq030_no_series,102,both_fail,False,False,LVRT,sym3ph,10.0,0.2,0.16,3.0,recover+vdc_survive_proxy,recover+vdc_survive_proxy,limit+survive,limit+survive,0.5518435851142494,0.5556999398760819
dq_droop_iq030_no_series,103,both_fail,False,False,LVRT,sym3ph,10.0,0.2,0.5,3.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.5485178123561467,0.5556070668831189
dq_droop_iq030_no_series,104,both_fail,False,False,LVRT,sym3ph,10.0,0.2,0.5,3.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.548517741498663,0.5556070668836891
dq_droop_iq030_no_series,105,both_fail,False,False,LVRT,sym3ph,10.0,0.2,0.16,6.0,recover+vdc_survive_proxy,recover+vdc_survive_proxy,limit+survive,limit+survive,0.5295571455560141,0.5338063726441795
dq_droop_iq030_no_series,106,both_fail,False,False,LVRT,sym3ph,10.0,0.2,0.16,6.0,recover+vdc_survive_proxy,recover+vdc_survive_proxy,limit+survive,limit+survive,0.526986925448012,0.5337267593592941
dq_droop_iq030_no_series,107,both_fail,False,False,LVRT,sym3ph,10.0,0.2,0.5,6.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.5262486157844961,0.5337101135750291
dq_droop_iq030_no_series,108,both_fail,False,False,LVRT,sym3ph,10.0,0.2,0.5,6.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.526248556188459,0.5337101135761879
dq_droop_iq030_no_series,109,both_fail,False,False,LVRT,sym3ph,15.0,0.2,0.16,1.5,vdc_survive_proxy,vdc_survive_proxy,limit+survive,limit+survive,0.5857873290126739,0.5900487673668818
dq_droop_iq030_no_series,110,both_fail,False,False,LVRT,sym3ph,15.0,0.2,0.16,1.5,vdc_survive_proxy,vdc_survive_proxy,limit+survive,limit+survive,0.5849801078645751,0.5900271696165654
dq_droop_iq030_no_series,111,both_fail,False,False,LVRT,sym3ph,15.0,0.2,0.5,1.5,connect+vdc_survive_proxy,vdc_survive_proxy,limit+recover+survive,limit+survive,0.5835461491059836,0.5900000000001124
dq_droop_iq030_no_series,112,both_fail,False,False,LVRT,sym3ph,15.0,0.2,0.5,1.5,connect+vdc_survive_proxy,vdc_survive_proxy,limit+recover+survive,limit+survive,0.5835461371385399,0.5900000000001124
dq_droop_iq030_no_series,113,both_fail,False,False,LVRT,sym3ph,15.0,0.2,0.16,3.0,recover+vdc_survive_proxy,recover+vdc_survive_proxy,limit+survive,limit+survive,0.5508705925922762,0.5556590857019829
dq_droop_iq030_no_series,114,both_fail,False,False,LVRT,sym3ph,15.0,0.2,0.16,3.0,recover+vdc_survive_proxy,recover+vdc_survive_proxy,limit+survive,limit+survive,0.5500101636960815,0.5556361757154553
dq_droop_iq030_no_series,115,both_fail,False,False,LVRT,sym3ph,15.0,0.2,0.5,3.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.5484751623963925,0.555607355327323
dq_droop_iq030_no_series,116,both_fail,False,False,LVRT,sym3ph,15.0,0.2,0.5,3.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.5484752973636076,0.555607355327323
dq_droop_iq030_no_series,117,both_fail,False,False,LVRT,sym3ph,15.0,0.2,0.16,6.0,recover+vdc_survive_proxy,recover+vdc_survive_proxy,limit+survive,limit+survive,0.5305314940781497,0.5338828536428424
dq_droop_iq030_no_series,118,both_fail,False,False,LVRT,sym3ph,15.0,0.2,0.16,6.0,recover+vdc_survive_proxy,recover+vdc_survive_proxy,limit+survive,limit+survive,0.5295129589354401,0.5338063517298733
dq_droop_iq030_no_series,119,both_fail,False,False,LVRT,sym3ph,15.0,0.2,0.5,6.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.5262089685814512,0.5337101135750288
dq_droop_iq030_no_series,120,both_fail,False,False,LVRT,sym3ph,15.0,0.2,0.5,6.0,connect+vdc_survive_proxy,recover+vdc_survive_proxy,limit+recover+survive,limit+survive,0.5262089130464557,0.5337101135750288
dq_droop_iq030_no_series,121,both_pass,True,True,LVRT,sym3ph,2.0,0.35,0.16,1.5,,,limit+survive,limit+survive,0.9241202604546092,0.9314695603988572
dq_droop_iq030_no_series,122,both_pass,True,True,LVRT,sym3ph,2.0,0.35,0.16,1.5,,,limit+survive,limit+survive,0.9233713656666096,0.9314514074904153
dq_droop_iq030_no_series,123,both_pass,True,True,LVRT,sym3ph,2.0,0.35,0.5,1.5,,,limit+survive,limit+survive,0.9119308449632015,0.9314285714286658
dq_droop_iq030_no_series,124,both_pass,True,True,LVRT,sym3ph,2.0,0.35,0.5,1.5,,,limit+survive,limit+survive,0.911861905650607,0.9314285714286239
dq_droop_iq030_no_series,125,both_pass,True,True,LVRT,sym3ph,2.0,0.35,0.16,3.0,,,limit+survive,limit+survive,0.9218976021603182,0.9314356595249642
dq_droop_iq030_no_series,126,both_pass,True,True,LVRT,sym3ph,2.0,0.35,0.16,3.0,,,limit+survive,limit+survive,0.9233708942965724,0.9314514074904153
dq_droop_iq030_no_series,127,both_pass,True,True,LVRT,sym3ph,2.0,0.35,0.5,3.0,,,limit+survive,limit+survive,0.911942896115545,0.9314285714287409
dq_droop_iq030_no_series,128,both_pass,True,True,LVRT,sym3ph,2.0,0.35,0.5,3.0,,,limit+survive,limit+survive,0.9119308349798582,0.9314285714286658
dq_droop_iq030_no_series,129,both_pass,True,True,LVRT,sym3ph,2.0,0.35,0.16,6.0,,,limit+survive,limit+survive,0.9226322552685347,0.9314412940150844
dq_droop_iq030_no_series,130,both_pass,True,True,LVRT,sym3ph,2.0,0.35,0.16,6.0,,,limit+survive,limit+survive,0.924119571107191,0.9314695603988572
dq_droop_iq030_no_series,131,both_pass,True,True,LVRT,sym3ph,2.0,0.35,0.5,6.0,,,limit+survive,limit+survive,0.911861905650607,0.9314285714286239
dq_droop_iq030_no_series,132,both_pass,True,True,LVRT,sym3ph,2.0,0.35,0.5,6.0,,,limit+survive,limit+survive,0.9118619032892086,0.9314285714286239
dq_droop_iq030_no_series,133,both_pass,True,True,LVRT,sym3ph,3.0,0.35,0.16,1.5,,,limit+survive,limit+survive,0.9226672658400386,0.9314412801057653
dq_droop_iq030_no_series,134,both_pass,True,True,LVRT,sym3ph,3.0,0.35,0.16,1.5,,,limit+survive,limit+survive,0.9248256264417658,0.9315020630352046
dq_droop_iq030_no_series,135,both_pass,True,True,LVRT,sym3ph,3.0,0.35,0.5,1.5,,,limit+survive,limit+survive,0.9111363792663533,0.9314285714288754
dq_droop_iq030_no_series,136,both_pass,True,True,LVRT,sym3ph,3.0,0.35,0.5,1.5,,,limit+survive,limit+survive,0.911106617374924,0.9314285714287408
dq_droop_iq030_no_series,137,both_pass,True,True,LVRT,sym3ph,3.0,0.35,0.16,3.0,,,limit+survive,limit+survive,0.9240995443004382,0.9314695155865336
dq_droop_iq030_no_series,138,both_pass,True,True,LVRT,sym3ph,3.0,0.35,0.16,3.0,,,limit+survive,limit+survive,0.9233845977386892,0.9314513825242602
dq_droop_iq030_no_series,139,both_pass,True,True,LVRT,sym3ph,3.0,0.35,0.5,3.0,,,limit+survive,limit+survive,0.9110110660246894,0.9314285714286239
dq_droop_iq030_no_series,140,both_pass,True,True,LVRT,sym3ph,3.0,0.35,0.5,3.0,,,limit+survive,limit+survive,0.9111363770297601,0.9314285714288754
dq_droop_iq030_no_series,141,both_pass,True,True,LVRT,sym3ph,3.0,0.35,0.16,6.0,,,limit+survive,limit+survive,0.9219508582189491,0.931435651775707
dq_droop_iq030_no_series,142,both_pass,True,True,LVRT,sym3ph,3.0,0.35,0.16,6.0,,,limit+survive,limit+survive,0.9240992409813737,0.9314695155865336
dq_droop_iq030_no_series,143,both_pass,True,True,LVRT,sym3ph,3.0,0.35,0.5,6.0,,,limit+survive,limit+survive,0.9111363790662013,0.9314285714288754
dq_droop_iq030_no_series,144,both_pass,True,True,LVRT,sym3ph,3.0,0.35,0.5,6.0,,,limit+survive,limit+survive,0.9111066159064728,0.9314285714287408
