expert,seed,step,ode_selection_proxy_pct,best_proxy_pct,metric_note
hvrt_sym,2024,250000,20.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,2024,275000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,2024,300000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
residual,42,25000,83.0,83.0,"ODE selection proxy, not certified frt-v2 pass rate"
residual,42,50000,80.0,83.0,"ODE selection proxy, not certified frt-v2 pass rate"
residual,42,75000,80.0,83.0,"ODE selection proxy, not certified frt-v2 pass rate"
residual,42,100000,67.0,83.0,"ODE selection proxy, not certified frt-v2 pass rate"
residual,42,125000,65.0,83.0,"ODE selection proxy, not certified frt-v2 pass rate"
residual,42,150000,83.0,83.0,"ODE selection proxy, not certified frt-v2 pass rate"
residual,42,175000,83.0,83.0,"ODE selection proxy, not certified frt-v2 pass rate"
residual,42,200000,83.0,85.0,"ODE selection proxy, not certified frt-v2 pass rate"
residual,42,225000,72.0,85.0,"ODE selection proxy, not certified frt-v2 pass rate"
residual,42,250000,83.0,85.0,"ODE selection proxy, not certified frt-v2 pass rate"
residual,42,275000,68.0,85.0,"ODE selection proxy, not certified frt-v2 pass rate"
residual,42,300000,73.0,85.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,7,25000,0.0,0.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,7,50000,0.0,0.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,7,75000,0.0,0.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,7,100000,0.0,0.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,7,125000,0.0,0.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,7,150000,0.0,0.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,7,175000,20.0,20.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,7,200000,0.0,20.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,7,225000,0.0,20.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,7,250000,0.0,20.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,7,275000,0.0,20.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,7,300000,0.0,20.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,31,25000,0.0,0.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,31,50000,0.0,0.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,31,75000,0.0,0.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,31,100000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,31,125000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,31,150000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
sym,31,175000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
