scenario_idx,sc_id,strategy,vdc_min_pu,vdc_max_pu,i2_max_pu,lvrt_pass
55,3,1,0.780923349656417,1.03080144035487,1.36188357542597,1
55,3,2,0.777673622303256,1.03045094473232,1.33968900741005,1
55,3,3,0.763134291172389,1.05043957478695,1.29859363869565,1
56,3,0,0.756303909218495,1.10259150462401,1.36793963153352,1
56,3,1,0.751374997294447,1.09552743552282,1.35572034574349,1
56,3,2,0.732376775142045,1.08871470802687,1.32248295090475,0
56,3,3,0.718120534466941,1.08629205017586,1.30330924399394,0
57,3,0,0.855915274465793,1.07678644614233,1.2423723201513,1
57,3,1,0.81891145928229,1.08101810830493,1.21395601620183,1
57,3,2,0.798913185205523,1.07770225617475,1.20534435810552,1
57,3,3,0.783739187207059,1.09064778620972,1.17538709298962,1
58,3,0,0.81289795984977,1.11271205494665,1.61644084723826,1
58,3,1,0.772045356903152,1.09889300475204,1.61742380366455,1
58,3,2,0.760554317426019,1.09327132175163,1.61960369268163,1
58,3,3,0.733159218796003,1.08444382731904,1.61469960328452,0
59,3,0,0.863857658524167,1.07422993455448,1.47318183125635,1
59,3,1,0.828551216999197,1.0768189874729,1.45579958058582,1
59,3,2,0.813826977998304,1.08108927055804,1.44438462546811,1
59,3,3,0.786486101712726,1.09316894556896,1.40148244641669,1
60,3,0,0.779051225283158,1.09647783362569,1.34672512616109,1
60,3,1,0.729113733440778,1.08778382124283,1.3566402058635,0
60,3,2,0.708063009357088,1.07497338126939,1.35343939257173,0
60,3,3,0.704295903149983,1.06983781696193,1.35583480591469,0
61,3,0,0.819968489233639,1.11447114846572,1.51357533449546,1
61,3,1,0.790248049439007,1.10038981390086,1.5118107790789,1
61,3,2,0.757100282449317,1.09586410675264,1.51752352964511,1
61,3,3,0.723944481167228,1.08729364592401,1.51117619393367,0
62,3,0,0.805615087970124,1.1048598782925,1.34658612362918,1
62,3,1,0.793691886436206,1.08629570230099,1.33216456033267,1
62,3,2,0.789934916467031,1.07328899829817,1.31883157124167,1
62,3,3,0.793660648578672,1.07628696077647,1.30889101927099,1
63,3,0,0.83080644149593,1.11579358270008,1.47261286714106,1
63,3,1,0.774183571537487,1.10798258667507,1.47571726727073,1
63,3,2,0.73029241849084,1.10486029862153,1.48899524159274,0
63,3,3,0.7124836751742,1.10553538695025,1.51285913644542,0
64,3,0,0.797763694600085,1.0880512518044,1.60685173603309,1
64,3,1,0.800627683093754,1.06027934795983,1.56403853317787,1
64,3,2,0.792120027424197,1.07322104580437,1.53225128830878,1
64,3,3,0.76241629777917,1.06501321807615,1.51639189713322,1
65,3,0,0.781833513770625,1.06426153140267,1.42639328563302,1
65,3,1,0.784468876866893,1.03682931485886,1.3760594604257,1
65,3,2,0.778312632512501,1.03372609776384,1.36294561301422,1
65,3,3,0.760610100334462,1.04645918052684,1.3211444213552,1
66,3,0,0.794142753781665,1.09445086926965,1.46666770637686,1
66,3,1,0.793967402558085,1.07629462320334,1.45397403414311,1
66,3,2,0.801346796043744,1.06991463229047,1.42191325780557,1
66,3,3,0.787942597123946,1.06675325593075,1.43871955000955,1
67,3,0,0.779465916321192,1.07553026651267,1.35037348031976,1
67,3,1,0.77750874469149,1.05402000580337,1.32010066742284,1
67,3,2,0.772551654339704,1.0494051176843,1.31305538646066,1
67,3,3,0.781328469827972,1.04778767293783,1.27770554305908,1
