scenario_idx,sc_id,m_sh,m_se_d,m_se_q
277,7,0.7965,0.0618,0.075
278,7,0.7943,0.0688,0.076
279,7,0.7996,0.0556,0.0736
280,7,0.7978,0.0594,0.0746
281,7,0.7993,0.0573,0.074
282,7,0.7996,0.0563,0.0737
283,7,0.7958,0.0635,0.0752
284,7,0.7952,0.0654,0.0754
285,7,0.7953,0.0651,0.0754
286,7,0.7955,0.0646,0.0753
287,7,0.7966,0.0617,0.075
288,7,0.7992,0.0576,0.074
289,7,0.7945,0.0681,0.0759
290,7,0.7982,0.0589,0.0745
291,7,0.7966,0.0615,0.075
292,7,0.7942,0.0695,0.0761
293,7,0.795,0.0661,0.0755
294,7,0.7986,0.0583,0.0743
295,7,0.7977,0.0596,0.0747
296,7,0.7943,0.0692,0.0761
297,7,0.7951,0.0657,0.0755
298,7,0.7991,0.0577,0.0741
299,7,0.7984,0.0587,0.0744
300,7,0.7959,0.0634,0.0752
301,8,0.8632,-0.2113,0.0512
302,8,0.8432,-0.1953,0.0442
303,8,0.8506,-0.1994,0.0468
304,8,0.861,-0.209,0.0504
305,8,0.846,-0.1969,0.0454
306,8,0.8573,-0.2053,0.0489
307,8,0.863,-0.211,0.0511
308,8,0.8544,-0.2026,0.048
309,8,0.8558,-0.2038,0.0484
310,8,0.8434,-0.1954,0.0443
311,8,0.854,-0.2022,0.0478
312,8,0.8575,-0.2055,0.049
313,8,0.8393,-0.193,0.0428
314,8,0.8622,-0.2102,0.0508
315,8,0.8544,-0.2026,0.048
316,8,0.8568,-0.2048,0.0488
317,8,0.8426,-0.1949,0.044
318,8,0.8606,-0.2086,0.0502
319,8,0.8611,-0.2091,0.0504
320,8,0.853,-0.2014,0.0475
321,8,0.8521,-0.2006,0.0473
322,8,0.8663,-0.2145,0.0524
323,8,0.8484,-0.1982,0.0462
324,8,0.8565,-0.2046,0.0487
325,8,0.8594,-0.2074,0.0497
326,8,0.8576,-0.2056,0.049
327,8,0.8626,-0.2107,0.051
328,8,0.8554,-0.2035,0.0483
329,8,0.85,-0.1991,0.0467
330,8,0.8461,-0.197,0.0454
331,8,0.8514,-0.2,0.0471
332,8,0.8513,-0.1999,0.047
333,8,0.8346,-0.1904,0.0412
334,8,0.8557,-0.2037,0.0484
335,8,0.8507,-0.1995,0.0469
336,8,0.861,-0.209,0.0503
337,8,0.8522,-0.2006,0.0473
338,8,0.8656,-0.2138,0.0522
339,8,0.8477,-0.1978,0.046
340,8,0.8413,-0.1941,0.0435
341,8,0.856,-0.2041,0.0485
342,8,0.8384,-0.1925,0.0425
343,8,0.8487,-0.1983,0.0463
344,8,0.8585,-0.2065,0.0494
345,8,0.8557,-0.2038,0.0484
346,8,0.8514,-0.2,0.0471
347,8,0.8596,-0.2076,0.0498
348,8,0.8464,-0.1972,0.0455
349,8,0.8511,-0.1998,0.047
350,8,0.851,-0.1997,0.0469
