scenario_idx,sc_id,m_sh,m_se_d,m_se_q,vdc_min,vdc_max,i2_max,lvrt_pass
241,6,0.8750,-0.0832,-0.1026,0.7923,1.0366,1.9005,1
242,6,0.8751,-0.0828,-0.1007,0.8047,1.0517,1.8108,1
243,6,0.8751,-0.0812,-0.0942,0.7864,1.0311,1.8613,1
244,6,0.8752,-0.0817,-0.0966,0.7982,1.0487,2.0388,1
245,6,0.8750,-0.0834,-0.1036,0.8194,1.0278,1.8212,1
246,6,0.8751,-0.0826,-0.1002,0.8551,1.0264,1.9373,1
247,6,0.8750,-0.0834,-0.1044,0.8313,1.0199,1.9348,1
248,6,0.8750,-0.0834,-0.1040,0.7954,1.0967,2.0558,1
249,6,0.8751,-0.0827,-0.1003,0.7758,1.0854,1.8471,1
250,6,0.8752,-0.0813,-0.0951,0.7652,1.0917,2.0851,1
251,7,0.7944,0.0686,0.0759,0.7349,1.0179,2.6047,0
252,7,0.7979,0.0592,0.0746,0.7595,0.9674,3.0638,0
253,7,0.7965,0.0620,0.0750,0.8151,0.9933,2.3268,1
254,7,0.7996,0.0555,0.0736,0.7764,0.9640,2.8721,1
255,7,0.7949,0.0665,0.0756,0.8160,1.0061,2.4749,1
256,7,0.7963,0.0625,0.0751,0.7792,0.9899,2.6865,1
257,7,0.7993,0.0574,0.0740,0.7886,1.0029,2.6380,1
258,7,0.7964,0.0620,0.0750,0.7973,1.0410,2.5649,1
259,7,0.7997,0.0558,0.0736,0.7681,1.0345,2.8087,1
260,7,0.7987,0.0582,0.0742,0.7757,1.0197,2.8196,1
261,7,0.7966,0.0615,0.0750,0.8412,0.9935,2.2367,1
262,7,0.7994,0.0546,0.0735,0.7602,0.9585,3.1361,0
263,7,0.7974,0.0599,0.0748,0.7827,0.9876,2.9670,1
264,7,0.7987,0.0582,0.0742,0.7021,1.0464,2.7602,0
265,7,0.7945,0.0678,0.0758,0.7952,1.0290,2.2734,1
266,7,0.7953,0.0650,0.0754,0.7221,1.0488,2.7384,0
267,7,0.7981,0.0591,0.0745,0.7596,0.9743,3.1785,0
268,7,0.7984,0.0586,0.0744,0.8197,1.0030,2.3006,1
269,7,0.7989,0.0522,0.0735,0.8001,0.9563,2.6238,1
270,7,0.7941,0.0698,0.0762,0.6221,0.9901,2.6233,0
271,7,0.7993,0.0538,0.0735,0.7848,0.9556,2.8411,1
272,7,0.7986,0.0584,0.0743,0.7686,0.9752,2.7076,1
273,7,0.7964,0.0620,0.0750,0.8156,0.9972,2.3195,1
